,plot_id,yield,blue-blue-444,blue-green,blue-green-531,blue-nir,blue-red,blue-red-650,blue-red-edge,blue-red-edge-705,blue-red-edge-740,blue-444-green,blue-444-green-531,blue-444-nir,blue-444-red,blue-444-red-650,blue-444-red-edge,blue-444-red-edge-705,blue-444-red-edge-740,green-green-531,green-nir,green-red,green-red-650,green-red-edge,green-red-edge-705,green-red-edge-740,green-531-nir,green-531-red,green-531-red-650,green-531-red-edge,green-531-red-edge-705,green-531-red-edge-740,nir-red,nir-red-650,nir-red-edge,nir-red-edge-705,nir-red-edge-740,red-red-650,red-red-edge,red-red-edge-705,red-red-edge-740,red-650-red-edge,red-650-red-edge-705,red-650-red-edge-740,red-edge-red-edge-705,red-edge-red-edge-740,red-edge-705-red-edge-740
44,56,942.6476586,0.8425931,-0.49027416,0.6407516,-0.940039,-0.1846971,0.7827141,-0.8332235,0.42312148,-0.29580086,-0.9430676,-0.43658087,-0.9947268,-0.88862526,-0.17443669,-0.9845578,-0.6487502,-0.9098431,0.8614727,-0.83639485,0.33609968,0.9199904,-0.5815314,0.75799334,0.22359812,-0.9867607,-0.73792183,0.28383005,-0.96135896,-0.2976939,-0.78718686,0.9139319,0.9925212,0.5001418,0.97575265,0.895103,0.84559417,-0.76636595,0.5633627,-0.120072104,-0.9781293,-0.5354511,-0.87434775,0.929717,0.71286577,-0.6403749
45,55,1012.490258,0.84224147,-0.5092916,0.6238461,-0.93792164,-0.2024681,0.7741422,-0.8393223,0.3969221,-0.30071703,-0.9457374,-0.4578376,-0.9945377,-0.8919379,-0.19360247,-0.98515356,-0.6667141,-0.9098158,0.86096275,-0.8244795,0.3405864,0.9199184,-0.57945895,0.7553362,0.24213965,-0.98563564,-0.7319481,0.28914315,-0.96093595,-0.30152574,-0.77799684,0.90485555,0.9916726,0.47403893,0.97339624,0.89156383,0.84486276,-0.7638673,0.552779,-0.108975,-0.9777287,-0.54226744,-0.86697704,0.92838997,0.720912,-0.6235779
46,54,1009.465888,0.8423893,-0.48948807,0.6382597,-0.93699956,-0.1846027,0.78299206,-0.8317076,0.41520545,-0.2820416,-0.9428841,-0.43964833,-0.9944499,-0.8884357,-0.17237356,-0.9843936,-0.65398157,-0.9072543,0.8600048,-0.8284037,0.3352672,0.92010236,-0.57882905,0.75338954,0.2373129,-0.9859308,-0.73592484,0.28894928,-0.9606557,-0.30265936,-0.77962214,0.9093172,0.99211663,0.483705,0.9739298,0.89281905,0.84586984,-0.7641438,0.5570022,-0.1050867,-0.9779424,-0.54372597,-0.8708055,0.9277771,0.7177551,-0.6253376
47,53,820.0546314,0.8413548,-0.49481788,0.6336811,-0.9352072,-0.1988216,0.77754724,-0.8327317,0.41150302,-0.2841778,-0.94323057,-0.44189218,-0.9942451,-0.8903608,-0.18161072,-0.9843735,-0.6544069,-0.90460813,0.8604406,-0.82576656,0.32694086,0.91803366,-0.5796081,0.75503427,0.2409857,-0.9856487,-0.7372207,0.28202152,-0.960742,-0.30043763,-0.77648485,0.9004673,0.99130046,0.47832954,0.9734533,0.89270484,0.8464375,-0.7555807,0.56195176,-0.09723247,-0.97693515,-0.53550977,-0.8619796,0.9282425,0.7205789,-0.62232816
48,52,879.8181855,0.83953565,-0.47372937,0.64844316,-0.9358678,-0.18363222,0.78531784,-0.82578427,0.43580127,-0.27039737,-0.939479,-0.41771987,-0.99424314,-0.88626826,-0.1570316,-0.9834994,-0.63429207,-0.9033927,0.8592756,-0.8320668,0.3178242,0.91780776,-0.5799857,0.75519556,0.23016776,-0.9861589,-0.7435904,0.27860713,-0.96052814,-0.2960954,-0.78168786,0.9081309,0.9920758,0.49058348,0.9746957,0.89330673,0.8472544,-0.75677186,0.5737062,-0.09355014,-0.97737557,-0.53044295,-0.86960053,0.928552,0.7145832,-0.63270813
49,77,1035.27909,0.8414992,-0.49441972,0.633508,-0.93832153,-0.20873928,0.7794281,-0.83690965,0.40081614,-0.30395025,-0.9432487,-0.44270897,-0.9945512,-0.89269394,-0.17721112,-0.9848561,-0.6627226,-0.90951824,0.860096,-0.83223104,0.31660277,0.91872346,-0.5880822,0.7487144,0.21994932,-0.98623157,-0.74177057,0.28702602,-0.961639,-0.31205672,-0.7854524,0.903554,0.9918839,0.48298293,0.97392654,0.89194226,0.8507377,-0.7571432,0.5605051,-0.10731849,-0.9778674,-0.5485714,-0.87001425,0.92812884,0.71620643,-0.62840575
50,75,979.9875791,0.8435446,-0.45351806,0.6583659,-0.9160823,-0.24481831,0.7687691,-0.8078227,0.44106206,-0.18947941,-0.9379319,-0.41153848,-0.9925952,-0.90089923,-0.20728524,-0.9820968,-0.63805246,-0.8826796,0.8583921,-0.8025176,0.23177509,0.90355545,-0.5673566,0.74792534,0.284507,-0.98318446,-0.77298564,0.2207187,-0.958598,-0.30772725,-0.75048625,0.85464966,0.9876093,0.44036877,0.96836174,0.88942915,0.8547038,-0.69113183,0.6135302,0.041672323,-0.9711945,-0.49158105,-0.8174806,0.9231115,0.7351016,-0.5779781
51,74,785.0458591,0.8438144,-0.4626588,0.6531426,-0.9325234,-0.2036435,0.78245705,-0.8255056,0.43233204,-0.25735027,-0.93959963,-0.42302477,-0.99411416,-0.89347285,-0.17915738,-0.98394495,-0.6457044,-0.90317595,0.8576241,-0.8285274,0.28536093,0.9138409,-0.58906597,0.74716145,0.23043668,-0.98570055,-0.7552124,0.26344,-0.9611337,-0.3073037,-0.7792135,0.89839065,0.9914464,0.47158864,0.97325903,0.8911162,0.851033,-0.74566483,0.58373684,-0.05975739,-0.9768151,-0.52719945,-0.86266124,0.92795765,0.7222683,-0.62153673
52,73,892.2502468,0.84205985,-0.47393733,0.6464862,-0.9269001,-0.22025448,0.77593976,-0.823063,0.42740837,-0.24056824,-0.9405266,-0.4263342,-0.99353343,-0.8954575,-0.18793674,-0.98350626,-0.6449714,-0.896351,0.8590659,-0.8138673,0.2814641,0.9125609,-0.57712865,0.7517365,0.2593842,-0.9844253,-0.75612754,0.25778311,-0.9600583,-0.3026758,-0.766151,0.8824504,0.9899833,0.45308137,0.9710813,0.88945043,0.8516365,-0.7305886,0.5891961,-0.029656408,-0.97514844,-0.51764995,-0.8471176,0.92660767,0.7286159,-0.60484797
53,70,900.1512209,0.84261924,-0.47119412,0.64773273,-0.9248664,-0.22311577,0.77801913,-0.8207285,0.42885196,-0.23141846,-0.94024587,-0.4253484,-0.9933621,-0.8961623,-0.1839079,-0.9833111,-0.6449551,-0.8941018,0.8586527,-0.8112519,0.27509993,0.9126691,-0.57535905,0.7506536,0.26501083,-0.9841283,-0.7580402,0.26026955,-0.9597385,-0.3035393,-0.7626357,0.8778775,0.98972577,0.44905245,0.9704638,0.88912445,0.85392207,-0.7252813,0.5916846,-0.018406875,-0.9749428,-0.5203242,-0.84451276,0.92587924,0.730002,-0.59930974
